expenditure,time
1.8952,2004
1.7658,2004.0833333333335
1.8728,2004.1666666666667
1.8737000000000001,2004.25
1.8462,2004.3333333333335
1.7585,2004.4166666666667
1.8782,2004.5
1.8500999999999999,2004.5833333333335
1.9215,2004.6666666666667
1.9145,2004.75
1.8399,2004.8333333333335
2.0419,2004.9166666666667
1.7987,2005
1.6612,2005.0833333333335
1.7803,2005.1666666666667
1.809,2005.25
1.7889000000000002,2005.3333333333335
1.7689000000000001,2005.4166666666667
1.869,2005.5
1.8134000000000001,2005.5833333333335
1.8457999999999999,2005.6666666666667
1.9781,2005.75
1.965,2005.8333333333335
2.1528,2005.9166666666667
1.9138,2006
1.7501,2006.0833333333335
1.9838,2006.1666666666667
1.9665,2006.25
2.0051,2006.3333333333335
1.9436,2006.4166666666667
2.0192,2006.5
2.0432,2006.5833333333335
2.0387,2006.6666666666667
2.1133,2006.75
2.1094,2006.8333333333335
2.2973000000000003,2006.9166666666667
2.0970999999999997,2007
1.939,2007.0833333333335
2.1919,2007.1666666666667
2.134,2007.25
2.1455,2007.3333333333335
2.1338000000000004,2007.4166666666667
2.1784,2007.5
2.2579000000000002,2007.5833333333335
2.1795,2007.6666666666667
2.2573000000000003,2007.75
2.2845999999999997,2007.8333333333335
2.4611,2007.9166666666667
2.1635,2008
2.0867,2008.0833333333335
2.1594,2008.1666666666667
2.1481999999999997,2008.25
2.1767,2008.3333333333335
2.0899,2008.4166666666667
2.1726,2008.5
2.204,2008.5833333333335
2.1241999999999996,2008.6666666666667
2.3024,2008.75
2.2428000000000003,2008.8333333333335
2.4794,2008.9166666666667
2.3183000000000002,2009
2.0695,2009.0833333333335
2.3032,2009.1666666666667
2.3269,2009.25
2.4017,2009.3333333333335
2.263,2009.4166666666667
2.4151,2009.5
2.4461,2009.5833333333335
2.4307,2009.6666666666667
2.602,2009.75
2.5699,2009.8333333333335
2.8971,2009.9166666666667
2.5213,2010
2.3239,2010.0833333333335
2.6075,2010.1666666666667
2.5358,2010.25
2.5714,2010.3333333333335
2.5049,2010.4166666666667
2.7813000000000003,2010.5
2.8,2010.5833333333335
2.7428000000000003,2010.6666666666667
2.7302,2010.75
2.6844,2010.8333333333335
3.0211,2010.9166666666667
2.5982,2011
2.3913,2011.0833333333335
2.6489000000000003,2011.1666666666667
2.5989,2011.25
2.6041,2011.3333333333335
2.5195,2011.4166666666667
2.7019,2011.5
2.7396,2011.5833333333335
2.7443,2011.6666666666667
2.8144,2011.75
2.7842,2011.8333333333335
3.0465999999999998,2011.9166666666667
2.7295,2012
2.556,2012.0833333333335
2.8393,2012.1666666666667
2.7374,2012.25
2.8367,2012.3333333333335
2.7848,2012.4166666666667
2.9322,2012.5
2.9627,2012.5833333333335
2.8859,2012.6666666666667
2.9667,2012.75
2.9731,2012.8333333333335
3.1775,2012.9166666666667
2.8495999999999997,2013
2.6077,2013.0833333333335
2.924,2013.1666666666667
2.8535,2013.25
2.9015,2013.3333333333335
2.813,2013.4166666666667
2.9684,2013.5
3.0650999999999997,2013.5833333333335
2.9886999999999997,2013.6666666666667
3.1754000000000002,2013.75
3.2108000000000003,2013.8333333333335
3.5368000000000004,2013.9166666666667
3.2091,2014
2.8799,2014.0833333333335
3.232,2014.1666666666667
3.1820999999999997,2014.25
3.2283000000000004,2014.3333333333335
3.0675,2014.4166666666667
3.3158000000000003,2014.5
3.3507,2014.5833333333335
3.3604000000000003,2014.6666666666667
3.4015999999999997,2014.75
3.3749000000000002,2014.8333333333335
3.6927,2014.9166666666667
3.3913,2015
3.0275,2015.0833333333335
3.3619,2015.1666666666667
3.2665,2015.25
3.314,2015.3333333333335
3.2575,2015.4166666666667
3.4453,2015.5
3.4211,2015.5833333333335
3.4444,2015.6666666666667
3.5258000000000003,2015.75
3.4913000000000003,2015.8333333333335
3.8199,2015.9166666666667
3.4318,2016
3.1869,2016.0833333333335
3.4352,2016.1666666666667
3.4516999999999998,2016.25
3.431,2016.3333333333335
3.3139000000000003,2016.4166666666667
3.573,2016.5
3.6475,2016.5833333333335
3.6963000000000004,2016.6666666666667
3.7166,2016.75
3.6785,2016.8333333333335
4.0473,2016.9166666666667
